Designator,Mid X,Mid Y,Rotation,Layer
D4,100.55,-27.85,270.0,bottom
D40,72.075,-72.6,270.0,bottom
D41,91.039824,-72.6,270.0,bottom
D42,110.039824,-72.6,270.0,bottom
D43,129.075,-72.6,270.0,bottom
D44,148.014824,-72.6,270.0,bottom
D45,166.975,-72.6,270.0,bottom
D46,185.975,-72.6,270.0,bottom
D47,204.95,-72.6,270.0,bottom
D48,223.975,-72.6,270.0,bottom
D49,242.95,-72.6,270.0,bottom
D5,119.525,-27.85,270.0,bottom
D50,261.975,-72.6,270.0,bottom
D51,287.664824,-82.0,270.0,bottom
D52,315.975,-72.6,270.0,bottom
D53,334.9,-72.6,270.0,bottom
D54,353.939824,-72.6,270.0,bottom
D55,379.325,-72.6,270.0,bottom
D56,398.275,-72.6,270.0,bottom
D57,417.25,-72.6,270.0,bottom
D58,436.225,-81.9,270.0,bottom
D59,31.6,-91.6,270.0,bottom
D6,147.95,-27.85,270.0,bottom
D60,57.525,-91.575,270.0,bottom
D61,76.514824,-91.575,270.0,bottom
D62,95.489824,-91.6,270.0,bottom
D63,114.55,-91.575,270.0,bottom
D64,133.525,-91.6,270.0,bottom
D65,152.5,-91.6,270.0,bottom
D66,171.489824,-91.575,270.0,bottom
D67,190.45,-91.6,270.0,bottom
D68,209.425,-91.575,270.0,bottom
D69,228.475,-91.575,270.0,bottom
D7,167.1,-27.9,270.0,bottom
D70,247.5,-91.575,270.0,bottom
D71,266.2,-91.575,270.0,bottom
D72,379.314824,-91.6,270.0,bottom
D73,398.275,-91.575,270.0,bottom
D74,417.7,-91.8,270.0,bottom
D75,26.860176,-110.6,270.0,bottom
D76,48.310176,-110.6,270.0,bottom
D77,67.560176,-110.6,270.0,bottom
D78,86.535176,-110.6,270.0,bottom
D79,105.485176,-110.6,270.0,bottom
D8,185.939824,-27.85,270.0,bottom
D80,124.535176,-110.6,270.0,bottom
D81,143.525,-110.6,270.0,bottom
D82,162.5,-110.6,270.0,bottom
D83,181.485176,-110.625,270.0,bottom
D84,200.435176,-110.575,270.0,bottom
D85,219.435176,-110.6,270.0,bottom
D86,238.510176,-110.6,270.0,bottom
D87,273.985176,-110.575,270.0,bottom
D88,334.985176,-110.575,270.0,bottom
D89,379.335176,-110.6,270.0,bottom
D9,204.889824,-27.9,270.0,bottom
D90,398.285176,-110.625,270.0,bottom
D91,417.235176,-110.6,270.0,bottom
D92,436.2,-119.9,270.0,bottom
D93,26.825,-129.5,270.0,bottom
D94,50.55,-129.6,270.0,bottom
D95,74.225,-129.575,270.0,bottom
D96,145.5,-129.55,270.0,bottom
D97,216.75,-129.55,270.0,bottom
D98,240.525,-129.575,270.0,bottom
D99,264.25,-129.55,270.0,bottom
F1,343.665,-98.552,0.0,bottom
H1,46.25,-66.15,0.0,top
H2,67.525,-124.575,0.0,top
H3,233.575,-124.525,0.0,top
H4,412.45,-121.275,0.0,top
H5,280.025,-72.475,0.0,top
H6,432.775,-64.6,0.0,top
J1,372.7,-41.1,0.0,bottom
LED1,29.476667,-23.4,0.0,bottom
LED10,238.286667,-23.4,0.0,bottom
LED100,221.61,-125.016667,180.0,bottom
LED101,245.375,-124.985417,180.0,bottom
LED102,269.15,-125.027083,180.0,bottom
LED103,292.875,-125.1,180.0,bottom
LED104,320.885,-125.079167,180.0,bottom
LED105,339.81375,-125.00625,180.0,bottom
LED106,358.885,-125.047917,180.0,bottom
LED107,393.635,-124.995833,180.0,bottom
LED108,422.09375,-124.975,180.0,bottom
LED11,257.366667,-23.4,0.0,bottom
LED12,276.336667,-23.4,0.0,bottom
LED13,295.311667,-23.4,0.0,bottom
LED14,320.786667,-23.4,0.0,bottom
LED15,339.772917,-23.4,0.0,bottom
LED16,358.85,-23.4,0.0,bottom
LED17,394.225,-33.825,0.0,bottom
LED18,413.235,-33.8625,0.0,bottom
LED19,432.11,-33.9,0.0,bottom
LED2,67.451667,-23.4,0.0,bottom
LED20,29.475,-48.94375,180.0,bottom
LED21,48.45,-48.955,180.0,bottom
LED22,67.45,-48.97375,180.0,bottom
LED23,86.375,-48.97,180.0,bottom
LED24,105.36,-49.0,180.0,bottom
LED25,124.41,-48.92875,180.0,bottom
LED26,143.425,-48.985,180.0,bottom
LED27,162.36,-48.9625,180.0,bottom
LED28,181.285,-48.9925,180.0,bottom
LED29,200.325,-48.925,180.0,bottom
LED3,86.376667,-23.4,0.0,bottom
LED30,219.325,-48.98875,180.0,bottom
LED31,238.275,-48.99625,180.0,bottom
LED32,257.35,-48.95125,180.0,bottom
LED33,285.835,-48.9325,180.0,bottom
LED34,320.818333,-48.96625,180.0,bottom
LED35,339.7925,-48.9775,180.0,bottom
LED36,358.811667,-48.95875,180.0,bottom
LED37,384.203333,-48.9475,180.0,bottom
LED38,403.168333,-48.93625,180.0,bottom
LED39,422.15,-48.94,180.0,bottom
LED4,105.361667,-23.4,0.0,bottom
LED40,441.05,-48.98125,180.0,bottom
LED41,34.185,-68.016667,0.0,bottom
LED42,58.0,-68.011111,0.0,bottom
LED43,76.925,-68.038889,0.0,bottom
LED44,95.9,-67.961111,0.0,bottom
LED45,114.9,-68.022222,0.0,bottom
LED46,133.91,-68.0,0.0,bottom
LED47,152.875,-67.95,0.0,bottom
LED48,171.835,-67.977778,0.0,bottom
LED49,190.835,-68.027778,0.0,bottom
LED5,124.436667,-23.4,0.0,bottom
LED50,209.835,-68.05,0.0,bottom
LED51,228.86,-67.966667,0.0,bottom
LED52,247.825,-67.988889,0.0,bottom
LED53,266.85,-67.972222,0.0,bottom
LED54,292.535,-77.425,0.0,bottom
LED55,320.851667,-68.033333,0.0,bottom
LED56,339.75,-68.005556,0.0,bottom
LED57,358.775,-67.955556,0.0,bottom
LED58,384.2,-67.983333,0.0,bottom
LED59,403.151667,-68.044444,0.0,bottom
LED6,152.776667,-23.4,0.0,bottom
LED60,422.075,-67.994444,0.0,bottom
LED61,441.085,-77.275,0.0,bottom
LED62,36.475,-87.09,180.0,bottom
LED63,62.435,-87.1,180.0,bottom
LED64,81.4,-86.97,180.0,bottom
LED65,100.375,-87.0,180.0,bottom
LED66,119.46,-86.95,180.0,bottom
LED67,138.4,-87.05,180.0,bottom
LED68,157.375,-87.03,180.0,bottom
LED69,176.35,-87.04,180.0,bottom
LED7,171.836667,-23.4,0.0,bottom
LED70,195.335,-86.99,180.0,bottom
LED71,214.26,-86.98,180.0,bottom
LED72,233.325,-87.08,180.0,bottom
LED73,252.36,-87.01,180.0,bottom
LED74,271.035,-87.02,180.0,bottom
LED75,384.206667,-86.96,180.0,bottom
LED76,403.185,-87.06,180.0,bottom
LED77,422.13125,-87.07,180.0,bottom
LED78,31.7,-105.9375,0.0,bottom
LED79,53.15,-105.9625,0.0,bottom
LED8,190.841667,-23.4,0.0,bottom
LED80,72.425,-105.925,0.0,bottom
LED81,91.425,-106.0,0.0,bottom
LED82,110.375,-106.025,0.0,bottom
LED83,129.45,-106.125,0.0,bottom
LED84,148.425,-106.0625,0.0,bottom
LED85,167.375,-106.0875,0.0,bottom
LED86,186.36,-106.05,0.0,bottom
LED87,205.3,-105.95,0.0,bottom
LED88,224.275,-105.975,0.0,bottom
LED89,243.285,-105.9875,0.0,bottom
LED9,209.801667,-23.4,0.0,bottom
LED90,278.825,-106.0375,0.0,bottom
LED91,339.835,-106.0125,0.0,bottom
LED92,384.21,-106.1,0.0,bottom
LED93,403.135,-106.1125,0.0,bottom
LED94,422.1125,-106.075,0.0,bottom
LED95,441.11,-115.3,0.0,bottom
LED96,31.675,-125.0375,180.0,bottom
LED97,55.46,-125.06875,180.0,bottom
LED98,79.1,-125.058333,180.0,bottom
LED99,150.35,-125.089583,180.0,bottom
MX1,29.620878,-28.51343,180.0,bottom
MX10,238.45,-28.5,180.0,bottom
MX100,293.0,-130.225,180.0,bottom
MX101,321.014824,-130.225,180.0,bottom
MX102,339.939824,-130.2,180.0,bottom
MX103,358.975,-130.225,180.0,bottom
MX104,393.775,-130.15,180.0,bottom
MX105,422.25,-130.15,180.0,bottom
MX11,257.45,-28.475,180.0,bottom
MX12,276.439824,-28.5,180.0,bottom
MX13,295.439824,-28.475,180.0,bottom
MX14,320.95,-28.475,180.0,bottom
MX15,339.9,-28.51343,180.0,bottom
MX16,358.95,-28.475,180.0,bottom
MX17,29.6,-54.075,180.0,bottom
MX18,48.55,-54.075,180.0,bottom
MX19,67.564824,-54.075,180.0,bottom
MX2,67.6,-28.51343,180.0,bottom
MX20,86.514824,-54.1,180.0,bottom
MX21,105.525,-54.075,180.0,bottom
MX22,124.539824,-54.075,180.0,bottom
MX23,143.539824,-54.075,180.0,bottom
MX24,162.464824,-54.075,180.0,bottom
MX25,181.414824,-54.125,180.0,bottom
MX26,200.439824,-54.075,180.0,bottom
MX27,219.439824,-54.075,180.0,bottom
MX28,238.439824,-54.1,180.0,bottom
MX29,257.489824,-54.075,180.0,bottom
MX3,86.55,-28.51343,180.0,bottom
MX30,285.989824,-54.1,180.0,bottom
MX31,320.95,-54.1,180.0,bottom
MX32,339.925,-54.125,180.0,bottom
MX33,358.975,-54.1,180.0,bottom
MX34,384.314824,-54.1,180.0,bottom
MX35,403.275,-54.1,180.0,bottom
MX36,422.225,-54.1,180.0,bottom
MX37,441.2,-54.1,180.0,bottom
MX38,34.364824,-73.125,180.0,bottom
MX39,58.1,-73.125,180.0,bottom
MX4,105.489824,-28.51343,180.0,bottom
MX40,77.075,-73.125,180.0,bottom
MX41,96.039824,-73.15,180.0,bottom
MX42,115.039824,-73.125,180.0,bottom
MX43,134.075,-73.125,180.0,bottom
MX44,153.014824,-73.125,180.0,bottom
MX45,171.975,-73.125,180.0,bottom
MX46,190.975,-73.125,180.0,bottom
MX47,209.95,-73.125,180.0,bottom
MX48,228.975,-73.125,180.0,bottom
MX49,247.95,-73.1,180.0,bottom
MX5,124.525,-28.51343,180.0,bottom
MX50,266.975,-73.125,180.0,bottom
MX51,292.664824,-82.5,180.0,bottom
MX52,320.975,-73.175,180.0,bottom
MX53,339.9,-73.1,180.0,bottom
MX54,358.939824,-73.125,180.0,bottom
MX55,384.325,-73.125,180.0,bottom
MX56,403.275,-73.125,180.0,bottom
MX57,422.25,-73.125,180.0,bottom
MX58,441.225,-82.425,180.0,bottom
MX59,36.6,-92.175,180.0,bottom
MX6,152.95,-28.51343,180.0,bottom
MX60,62.525,-92.15,180.0,bottom
MX61,81.514824,-92.15,180.0,bottom
MX62,100.489824,-92.175,180.0,bottom
MX63,119.55,-92.15,180.0,bottom
MX64,138.525,-92.175,180.0,bottom
MX65,157.5,-92.175,180.0,bottom
MX66,176.489824,-92.15,180.0,bottom
MX67,195.45,-92.175,180.0,bottom
MX68,214.425,-92.15,180.0,bottom
MX69,233.475,-92.15,180.0,bottom
MX7,171.939824,-28.5,180.0,bottom
MX70,252.5,-92.15,180.0,bottom
MX71,271.2,-92.15,180.0,bottom
MX72,384.314824,-92.175,180.0,bottom
MX73,403.275,-92.15,180.0,bottom
MX74,422.239824,-92.125,180.0,bottom
MX75,31.85,-111.2,180.0,bottom
MX76,53.3,-111.2,180.0,bottom
MX77,72.55,-111.2,180.0,bottom
MX78,91.525,-111.2,180.0,bottom
MX79,110.475,-111.2,180.0,bottom
MX8,190.939824,-28.5,180.0,bottom
MX80,129.525,-111.2,180.0,bottom
MX81,148.514824,-111.2,180.0,bottom
MX82,167.489824,-111.2,180.0,bottom
MX83,186.475,-111.225,180.0,bottom
MX84,205.425,-111.175,180.0,bottom
MX85,224.425,-111.2,180.0,bottom
MX86,243.5,-111.2,180.0,bottom
MX87,278.975,-111.175,180.0,bottom
MX88,339.975,-111.175,180.0,bottom
MX89,384.325,-111.2,180.0,bottom
MX9,209.889824,-28.5,180.0,bottom
MX90,403.275,-111.225,180.0,bottom
MX91,422.225,-111.2,180.0,bottom
MX92,441.189824,-120.5,180.0,bottom
MX93,31.825,-130.2,180.0,bottom
